state_code,count
US-AK,6
US-AL,2
US-AR,3
US-AZ,15
US-CA,443
US-CO,12
US-CT,9
US-DC,2
US-FL,5
US-GA,7
US-HI,2
US-IA,1
US-ID,4
US-IN,11
US-KS,1
US-KY,1
US-LA,3
US-MA,11
US-MD,3
US-ME,1
US-MI,4
US-MN,4
US-MO,1
US-MT,3
US-NC,9
US-NH,4
US-NJ,4
US-NM,1
US-NV,9
US-NY,20
US-OH,6
US-OK,2
US-OR,33
US-PA,9
US-RI,2
US-SC,3
US-TN,3
US-TX,19
US-UT,4
US-VA,8
US-VT,10
US-WA,19
US-WI,5
