respondent_id,age_bin,gender,group_size,backpacking,training,fitness,footwear,pack_weight_bin,pack_weight_body_weight_bin,mi_day_bin,dificulty,whitney
3520024857,60 and up,Male,Group of 2+,Over 100,9 to 16,Above avg.,"Vibrams, sandals, none",30 to 35,Under 16%,10 to 12,Somewhat,Summited
3519986396,50 to 59,Male,Solo,11 to 20,5 to 8,Above avg.,Trail runners,25 to 30,Under 16%,10 to 12,Somewhat,Summited
3520321097,50 to 59,Male,Solo,51 to 100,9 to 16,Above avg.,Trail runners,25 to 30,Under 16%,20 and up,Somewhat,Summited
3526994838,60 and up,Male,Group of 2+,51 to 100,9 to 16,Average,Trail runners,25 to 30,Under 16%,Under 8,Minimally,Not planned
3527094249,50 to 59,Male,Solo,51 to 100,9 to 16,Above avg.,Trail runners,25 to 30,Under 16%,14 to 16,Somewhat,Summited
3520858575,50 to 59,Male,Group of 2+,51 to 100,5 to 8,Above avg.,Boots,25 to 30,Under 16%,16 to 18,Somewhat,Summited
3571411848,50 to 59,Male,Group of 2+,21 to 50,Over 16,Average,Boots,25 to 30,Under 16%,10 to 12,Fairly,Not planned
3542858408,Under 30,Female,Group of 2+,11 to 20,2 to 4,Average,Trail runners,25 to 30,Under 16%,12 to 14,Somewhat,Summited
3521378898,40 to 49,Male,Solo,21 to 50,9 to 16,Sig. above avg.,Trail runners,25 to 30,Under 16%,18 to 20,Somewhat,Attempted
3522164169,Under 30,Male,Group of 2+,Over 100,5 to 8,Above avg.,Trail runners,25 to 30,Under 16%,14 to 16,Not at all,Summited
3520589547,60 and up,Male,Group of 2+,21 to 50,Under 2,Above avg.,Trail runners,25 to 30,Under 16%,Under 8,Not at all,Not planned
3522195217,40 to 49,Male,Group of 2+,6 to 10,Over 16,Average,Trail runners,25 to 30,Under 16%,20 and up,Not at all,Summited
3520449189,50 to 59,Male,Solo,Over 100,Under 2,Below avg.,Hiking shoes,30 to 35,Under 16%,16 to 18,Fairly,Attempted
3617694569,50 to 59,Male,Group of 2+,21 to 50,Over 16,Sig. above avg.,"Vibrams, sandals, none",30 to 35,Under 16%,10 to 12,Minimally,Summited
3520096384,Under 30,Male,Solo,Over 100,Over 16,Sig. above avg.,Trail runners,Under 25,Under 16%,20 and up,Minimally,Not planned
3674617812,40 to 49,Male,Group of 2+,21 to 50,2 to 4,Average,Boots,Under 25,Under 16%,10 to 12,Somewhat,Not planned
3520038122,30 to 39,Male,Solo,21 to 50,Over 16,Above avg.,Trail runners,25 to 30,Under 16%,12 to 14,Somewhat,Summited
3543948214,40 to 49,Male,Group of 2+,21 to 50,9 to 16,Average,Boots,35 to 40,Under 16%,Under 8,Somewhat,Not planned
3541732653,40 to 49,Female,Group of 2+,51 to 100,Over 16,Sig. above avg.,Trail runners,35 to 40,Under 16%,12 to 14,Fairly,Not planned
3682491267,30 to 39,Male,Group of 2+,Over 100,9 to 16,Sig. above avg.,Boots,Under 25,Under 16%,12 to 14,Not at all,Not planned
3543802694,50 to 59,Male,Group of 2+,51 to 100,5 to 8,Above avg.,Boots,30 to 35,Under 16%,10 to 12,Not at all,Attempted
3527941501,40 to 49,Male,Solo,6 to 10,5 to 8,Below avg.,Trail runners,30 to 35,Under 16%,14 to 16,Fairly,Summited
3520272806,Under 30,Male,Group of 2+,21 to 50,Over 16,Above avg.,Hiking shoes,40 to 45,Under 16%,14 to 16,Fairly,Summited
