respondent_id,age_bin,gender,group_size,backpacking,training,fitness,footwear,pack_weight_bin,pack_weight_body_weight_bin,mi_day_bin,dificulty,whitney
3520274814,60 and up,Male,Solo,Over 100,9 to 16,Above avg.,Trail runners,30 to 35,16 to 20%,10 to 12,Somewhat,Summited
3571905483,Under 30,Female,Group of 2+,21 to 50,2 to 4,Below avg.,Hiking shoes,25 to 30,16 to 20%,8 to 10,Somewhat,Not planned
3528758547,50 to 59,Male,Solo,21 to 50,5 to 8,Average,Boots,40 to 45,16 to 20%,12 to 14,Somewhat,Summited
3527592105,50 to 59,Male,Solo,21 to 50,5 to 8,Above avg.,Trail runners,30 to 35,16 to 20%,20 and up,Fairly,Attempted
3541763199,30 to 39,Female,Group of 2+,51 to 100,9 to 16,Above avg.,Trail runners,25 to 30,16 to 20%,14 to 16,Minimally,Summited
3520196206,30 to 39,Female,Group of 2+,21 to 50,5 to 8,Average,Hiking shoes,25 to 30,16 to 20%,Under 8,Fairly,Not planned
3560608573,30 to 39,Female,Group of 2+,Under 5,Under 2,Below avg.,Hiking shoes,25 to 30,16 to 20%,12 to 14,Fairly,Not planned
3520109186,30 to 39,Female,Group of 2+,11 to 20,2 to 4,Below avg.,Trail runners,25 to 30,16 to 20%,14 to 16,Somewhat,Summited
3520889972,50 to 59,Male,Group of 2+,11 to 20,9 to 16,Average,Hiking shoes,40 to 45,16 to 20%,10 to 12,Very,Summited
3520364186,60 and up,Female,Group of 2+,51 to 100,2 to 4,Average,Boots,25 to 30,16 to 20%,10 to 12,Minimally,Not planned
3520063488,40 to 49,Male,Group of 2+,11 to 20,Under 2,Above avg.,Boots,45 to 50,16 to 20%,12 to 14,Fairly,Summited
3519901784,30 to 39,Female,Group of 2+,51 to 100,2 to 4,Average,Trail runners,30 to 35,16 to 20%,12 to 14,Fairly,Summited
3545409800,Under 30,Male,Mix of group/solo,Under 5,Over 16,Above avg.,Trail runners,30 to 35,16 to 20%,20 and up,Very,Summited
3522128101,50 to 59,Female,Group of 2+,51 to 100,Under 2,Average,Boots,35 to 40,16 to 20%,10 to 12,Fairly,Summited
3542248387,40 to 49,Male,Mix of group/solo,11 to 20,Under 2,Average,Trail runners,35 to 40,16 to 20%,10 to 12,Minimally,Summited
3519908490,50 to 59,Male,Group of 2+,Under 5,9 to 16,Average,Boots,35 to 40,16 to 20%,14 to 16,Fairly,Summited
3666949894,50 to 59,Male,Mix of group/solo,51 to 100,9 to 16,Above avg.,Boots,35 to 40,16 to 20%,8 to 10,Not at all,Not planned
3521327021,60 and up,Male,Group of 2+,Over 100,9 to 16,Above avg.,Trail runners,35 to 40,16 to 20%,10 to 12,Fairly,Summited
3541734468,Under 30,Female,Group of 2+,6 to 10,Under 2,Below avg.,Boots,35 to 40,16 to 20%,12 to 14,Fairly,Summited
3525997045,50 to 59,Male,Group of 2+,51 to 100,5 to 8,Below avg.,Boots,45 to 50,16 to 20%,10 to 12,Very,Summited
3523650185,30 to 39,Female,Group of 2+,11 to 20,5 to 8,Sig. above avg.,Boots,30 to 35,16 to 20%,12 to 14,Not at all,Attempted
3520067560,30 to 39,Male,Group of 2+,21 to 50,2 to 4,Below avg.,Hiking shoes,40 to 45,16 to 20%,8 to 10,Minimally,Not planned
3520553136,30 to 39,Male,Solo,21 to 50,9 to 16,Above avg.,Trail runners,30 to 35,16 to 20%,14 to 16,Minimally,Not planned
3572434372,50 to 59,Male,Group of 2+,6 to 10,2 to 4,Average,Boots,30 to 35,16 to 20%,10 to 12,Fairly,Summited
3541856927,60 and up,Male,Solo,Over 100,Under 2,Above avg.,Hiking shoes,40 to 45,16 to 20%,10 to 12,Fairly,Summited
3520226533,30 to 39,Female,Group of 2+,6 to 10,9 to 16,Above avg.,Trail runners,25 to 30,16 to 20%,20 and up,Minimally,Summited
3527263106,60 and up,Female,Solo,Over 100,Over 16,Sig. above avg.,Trail runners,25 to 30,16 to 20%,16 to 18,Somewhat,Not planned
3520377189,Under 30,Male,Mix of group/solo,Under 5,Under 2,Below avg.,Boots,45 to 50,16 to 20%,10 to 12,Fairly,Not planned
3671479867,Under 30,Male,Solo,Over 100,Under 2,Average,Trail runners,30 to 35,16 to 20%,16 to 18,Somewhat,Summited
3521408949,50 to 59,Male,Group of 2+,21 to 50,Over 16,Above avg.,Hiking shoes,30 to 35,16 to 20%,8 to 10,Somewhat,Not planned
3667137490,30 to 39,Male,Group of 2+,21 to 50,2 to 4,Out of shape,Hiking shoes,45 to 50,16 to 20%,Under 8,Fairly,Not planned
3519918363,40 to 49,Male,Group of 2+,21 to 50,5 to 8,Sig. above avg.,Trail runners,30 to 35,16 to 20%,20 and up,Very,Attempted
3534145411,40 to 49,Male,Group of 2+,21 to 50,Under 2,Below avg.,Hiking shoes,35 to 40,16 to 20%,12 to 14,Fairly,Not planned
3519902580,60 and up,Female,Group of 2+,21 to 50,Under 2,Above avg.,Trail runners,40 to 45,16 to 20%,Under 8,Fairly,Not planned
3520273580,30 to 39,Male,Solo,51 to 100,9 to 16,Sig. above avg.,Trail runners,25 to 30,20 to 24%,20 and up,Somewhat,Not planned
3527194175,Under 30,Female,Group of 2+,21 to 50,9 to 16,Average,Trail runners,30 to 35,20 to 24%,Under 8,Fairly,Not planned
3520167086,50 to 59,Female,Group of 2+,6 to 10,5 to 8,Average,Hiking shoes,35 to 40,20 to 24%,Under 8,Fairly,Not planned
3528659777,40 to 49,Female,Group of 2+,Over 100,5 to 8,Average,Trail runners,30 to 35,20 to 24%,8 to 10,Fairly,Attempted
3536143832,60 and up,Female,Group of 2+,Under 5,5 to 8,Average,Hiking shoes,Under 25,20 to 24%,10 to 12,Somewhat,Not planned
3520788719,50 to 59,Male,Group of 2+,6 to 10,9 to 16,Sig. above avg.,Boots,40 to 45,20 to 24%,10 to 12,Minimally,Summited
3531744680,30 to 39,Male,Group of 2+,Over 100,5 to 8,Average,Boots,30 to 35,20 to 24%,10 to 12,Somewhat,Not planned
3520311104,30 to 39,Female,Group of 2+,21 to 50,9 to 16,Above avg.,Boots,40 to 45,20 to 24%,12 to 14,Fairly,Summited
3528645838,30 to 39,Male,Group of 2+,Over 100,5 to 8,Out of shape,Trail runners,45 to 50,20 to 24%,12 to 14,Somewhat,Attempted
3536290382,60 and up,Male,Group of 2+,Over 100,Over 16,Above avg.,Trail runners,35 to 40,20 to 24%,14 to 16,Somewhat,Attempted
3674671135,30 to 39,Male,Solo,51 to 100,2 to 4,Above avg.,Boots,30 to 35,20 to 24%,14 to 16,Minimally,Summited
3661985088,Under 30,Female,Group of 2+,Over 100,5 to 8,Above avg.,Trail runners,30 to 35,20 to 24%,14 to 16,Not at all,Summited
3520164052,50 to 59,Male,Group of 2+,6 to 10,5 to 8,Above avg.,Trail runners,40 to 45,20 to 24%,14 to 16,Minimally,Summited
3520184762,40 to 49,Male,Mix of group/solo,21 to 50,Over 16,Sig. above avg.,Boots,40 to 45,20 to 24%,16 to 18,Fairly,Summited
3520257708,30 to 39,Male,Solo,21 to 50,5 to 8,Average,Trail runners,30 to 35,20 to 24%,18 to 20,Somewhat,Summited
3525337923,Under 30,Male,Solo,Under 5,Under 2,Below avg.,Trail runners,35 to 40,20 to 24%,14 to 16,Fairly,Attempted
3531282775,Under 30,Male,Group of 2+,Under 5,2 to 4,Sig. above avg.,Trail runners,30 to 35,20 to 24%,12 to 14,Somewhat,Not planned
3520094050,50 to 59,Female,Group of 2+,Over 100,5 to 8,Above avg.,Boots,30 to 35,20 to 24%,12 to 14,Not at all,Summited
3519940988,60 and up,Female,Solo,Over 100,Over 16,Above avg.,Trail runners,25 to 30,20 to 24%,14 to 16,Minimally,Summited
3529091899,30 to 39,Female,Group of 2+,Under 5,9 to 16,Average,Trail runners,25 to 30,20 to 24%,14 to 16,Somewhat,Summited
3527087471,50 to 59,Female,Solo,11 to 20,9 to 16,Above avg.,Trail runners,25 to 30,20 to 24%,16 to 18,Not at all,Summited
3520031940,40 to 49,Male,Group of 2+,51 to 100,9 to 16,Above avg.,Trail runners,35 to 40,20 to 24%,16 to 18,Very,Summited
3527376424,40 to 49,Male,Group of 2+,51 to 100,Over 16,Average,Boots,35 to 40,20 to 24%,12 to 14,Minimally,Attempted
3523015153,30 to 39,Male,Group of 2+,Under 5,5 to 8,Above avg.,Trail runners,30 to 35,20 to 24%,18 to 20,Not at all,Summited
3521641078,60 and up,Male,Group of 2+,Over 100,9 to 16,Above avg.,Boots,35 to 40,20 to 24%,10 to 12,Somewhat,Summited
3520036655,50 to 59,Male,Group of 2+,21 to 50,5 to 8,Average,Hiking shoes,45 to 50,20 to 24%,12 to 14,Very,Summited
3520353136,40 to 49,Male,Group of 2+,6 to 10,2 to 4,Below avg.,Boots,35 to 40,20 to 24%,10 to 12,Somewhat,Attempted
3520440882,50 to 59,Male,Group of 2+,51 to 100,9 to 16,Above avg.,Hiking shoes,35 to 40,20 to 24%,12 to 14,Somewhat,Summited
3528721265,30 to 39,Female,Solo,6 to 10,9 to 16,Sig. above avg.,Trail runners,25 to 30,20 to 24%,20 and up,Very,Summited
3525336774,40 to 49,Male,Group of 2+,51 to 100,5 to 8,Average,Trail runners,35 to 40,20 to 24%,10 to 12,Somewhat,Not planned
3520355941,30 to 39,Male,Group of 2+,Under 5,5 to 8,Below avg.,Boots,35 to 40,20 to 24%,10 to 12,Very,Summited
3673861506,30 to 39,Male,Group of 2+,21 to 50,9 to 16,Average,Trail runners,35 to 40,20 to 24%,18 to 20,Somewhat,Attempted
3520068736,60 and up,Female,Group of 2+,51 to 100,Over 16,Sig. above avg.,Boots,35 to 40,20 to 24%,Under 8,Minimally,Attempted
3646739861,50 to 59,Male,Group of 2+,Under 5,5 to 8,Average,Boots,35 to 40,20 to 24%,10 to 12,Somewhat,Not planned
3528212077,60 and up,Male,Solo,6 to 10,5 to 8,Average,Hiking shoes,35 to 40,20 to 24%,12 to 14,Somewhat,Summited
3647504389,40 to 49,Female,Group of 2+,21 to 50,9 to 16,Average,Hiking shoes,30 to 35,20 to 24%,10 to 12,Somewhat,Not planned
3674613763,30 to 39,Male,Group of 2+,51 to 100,5 to 8,Above avg.,Boots,30 to 35,20 to 24%,8 to 10,Fairly,Not planned
3520369510,50 to 59,Female,Group of 2+,21 to 50,5 to 8,Above avg.,Boots,30 to 35,20 to 24%,12 to 14,Somewhat,Summited
3527233703,50 to 59,Female,Mix of group/solo,Over 100,Over 16,Above avg.,Trail runners,35 to 40,20 to 24%,14 to 16,Not at all,Summited
3520458891,60 and up,Male,Solo,51 to 100,9 to 16,Sig. above avg.,Boots,35 to 40,20 to 24%,12 to 14,Not at all,Summited
3527316782,50 to 59,Male,Group of 2+,51 to 100,9 to 16,Below avg.,Boots,45 to 50,20 to 24%,10 to 12,Fairly,Not planned
3520420701,50 to 59,Female,Group of 2+,51 to 100,Over 16,Above avg.,Hiking shoes,25 to 30,20 to 24%,10 to 12,Fairly,Not planned
3527063768,60 and up,Female,Group of 2+,21 to 50,5 to 8,Average,Boots,25 to 30,20 to 24%,12 to 14,Fairly,Summited
3520379384,Under 30,Male,Group of 2+,21 to 50,5 to 8,Above avg.,Trail runners,35 to 40,20 to 24%,12 to 14,Somewhat,Summited
3521487006,40 to 49,Male,Group of 2+,11 to 20,9 to 16,Above avg.,Trail runners,35 to 40,20 to 24%,16 to 18,Fairly,Attempted
3521680185,60 and up,Male,Solo,51 to 100,9 to 16,Average,Trail runners,35 to 40,20 to 24%,10 to 12,Very,Summited
3667740865,Under 30,Male,Group of 2+,11 to 20,Over 16,Above avg.,Trail runners,35 to 40,20 to 24%,14 to 16,Fairly,Summited
3521851728,Under 30,Male,Solo,21 to 50,5 to 8,Above avg.,Hiking shoes,30 to 35,20 to 24%,16 to 18,Fairly,Summited
3527754759,40 to 49,Female,Solo,21 to 50,Over 16,Below avg.,Hiking shoes,40 to 45,20 to 24%,8 to 10,Very,Attempted
3666926161,30 to 39,Male,Solo,21 to 50,9 to 16,Average,Trail runners,35 to 40,20 to 24%,20 and up,Not at all,Attempted
3527059735,30 to 39,Male,Group of 2+,Over 100,9 to 16,Average,Hiking shoes,40 to 45,20 to 24%,12 to 14,Somewhat,Summited
3528330224,50 to 59,Male,Group of 2+,51 to 100,5 to 8,Average,Boots,40 to 45,20 to 24%,16 to 18,Fairly,Summited
3522716049,60 and up,Male,Solo,21 to 50,5 to 8,Average,Boots,45 to 50,20 to 24%,Under 8,Fairly,Summited
3520850352,50 to 59,Male,Group of 2+,Over 100,9 to 16,Above avg.,Hiking shoes,35 to 40,20 to 24%,16 to 18,Fairly,Summited
3520410892,50 to 59,Male,Group of 2+,51 to 100,2 to 4,Above avg.,Trail runners,35 to 40,20 to 24%,12 to 14,Very,Summited
3527073335,60 and up,Female,Group of 2+,21 to 50,5 to 8,Above avg.,Boots,25 to 30,20 to 24%,10 to 12,Fairly,Summited
3520308854,50 to 59,Female,Solo,51 to 100,9 to 16,Above avg.,Boots,30 to 35,20 to 24%,10 to 12,Somewhat,Not planned
3522271873,60 and up,Female,Solo,51 to 100,5 to 8,Above avg.,Trail runners,25 to 30,20 to 24%,8 to 10,Fairly,Not planned
3647163234,30 to 39,Male,Group of 2+,51 to 100,2 to 4,Above avg.,Trail runners,35 to 40,20 to 24%,12 to 14,Somewhat,Summited
3528482383,30 to 39,Female,Mix of group/solo,51 to 100,2 to 4,Average,Trail runners,35 to 40,20 to 24%,12 to 14,Somewhat,Summited
3520093195,50 to 59,Female,Group of 2+,51 to 100,9 to 16,Above avg.,Trail runners,30 to 35,20 to 24%,12 to 14,Minimally,Summited
3527047453,Under 30,Male,Mix of group/solo,51 to 100,9 to 16,Above avg.,Trail runners,30 to 35,20 to 24%,12 to 14,Minimally,Summited
3527319705,40 to 49,Male,Solo,11 to 20,9 to 16,Average,Trail runners,40 to 45,20 to 24%,14 to 16,Somewhat,Summited
3522461128,40 to 49,Female,Mix of group/solo,Under 5,2 to 4,Average,Trail runners,30 to 35,20 to 24%,12 to 14,Fairly,Summited
3560279294,Under 30,Female,Group of 2+,21 to 50,9 to 16,Above avg.,Boots,35 to 40,20 to 24%,12 to 14,Somewhat,Summited
3520542885,30 to 39,Male,Group of 2+,51 to 100,2 to 4,Average,Trail runners,30 to 35,20 to 24%,10 to 12,Fairly,Not planned
3521367522,30 to 39,Male,Group of 2+,21 to 50,9 to 16,Average,Boots,35 to 40,20 to 24%,10 to 12,Minimally,Not planned
3520097766,Under 30,Male,Solo,21 to 50,2 to 4,Average,Boots,40 to 45,20 to 24%,12 to 14,Fairly,Summited
3531543715,50 to 59,Male,Group of 2+,51 to 100,5 to 8,Below avg.,Boots,55 and up,20 to 24%,8 to 10,Very,Not planned
3520337322,50 to 59,Female,Group of 2+,11 to 20,Over 16,Above avg.,"Vibrams, sandals, none",25 to 30,20 to 24%,10 to 12,Minimally,Summited
3527679041,50 to 59,Female,Group of 2+,Under 5,9 to 16,Above avg.,Boots,25 to 30,20 to 24%,10 to 12,Fairly,Not planned
3520394271,50 to 59,Male,Group of 2+,Under 5,9 to 16,Average,Boots,30 to 35,20 to 24%,12 to 14,Fairly,Summited
3521451950,30 to 39,Female,Solo,21 to 50,5 to 8,Average,Hiking shoes,35 to 40,20 to 24%,10 to 12,Fairly,Attempted
3590946995,30 to 39,Male,Solo,Under 5,9 to 16,Average,Boots,40 to 45,20 to 24%,12 to 14,Somewhat,Not planned
3573325537,30 to 39,Male,Group of 2+,11 to 20,2 to 4,Above avg.,Trail runners,40 to 45,20 to 24%,14 to 16,Fairly,Summited
3519920361,Under 30,Female,Group of 2+,Over 100,5 to 8,Sig. above avg.,Trail runners,25 to 30,20 to 24%,18 to 20,Minimally,Summited
3522728529,30 to 39,Female,Solo,Over 100,Over 16,Above avg.,Trail runners,25 to 30,20 to 24%,12 to 14,Minimally,Summited
3542439685,Under 30,Male,Group of 2+,21 to 50,Under 2,Below avg.,Hiking shoes,25 to 30,20 to 24%,20 and up,Somewhat,Summited
3527942866,60 and up,Male,Group of 2+,11 to 20,5 to 8,Above avg.,Boots,35 to 40,20 to 24%,Under 8,Fairly,Not planned
3520407624,60 and up,Male,Group of 2+,Over 100,Under 2,Average,"Vibrams, sandals, none",45 to 50,20 to 24%,12 to 14,Fairly,Attempted
3528587287,50 to 59,Male,Group of 2+,51 to 100,9 to 16,Average,Boots,50 to 55,20 to 24%,12 to 14,Somewhat,Summited
3642204031,60 and up,Male,Solo,Over 100,Over 16,Average,Trail runners,35 to 40,20 to 24%,20 and up,Somewhat,Not planned
3568965653,50 to 59,Male,Group of 2+,51 to 100,2 to 4,Average,Boots,40 to 45,20 to 24%,14 to 16,Fairly,Summited
3531649672,40 to 49,Male,Group of 2+,51 to 100,9 to 16,Above avg.,Trail runners,45 to 50,20 to 24%,10 to 12,Fairly,Summited
3521324840,50 to 59,Male,Solo,51 to 100,5 to 8,Average,Hiking shoes,40 to 45,20 to 24%,8 to 10,Somewhat,Not planned
3527624148,Under 30,Male,Group of 2+,Over 100,2 to 4,Above avg.,Trail runners,35 to 40,20 to 24%,Under 8,Not at all,Not planned
3663490655,50 to 59,Female,Group of 2+,Over 100,5 to 8,Average,Boots,35 to 40,20 to 24%,12 to 14,Somewhat,Summited
3528786991,Under 30,Female,Group of 2+,11 to 20,2 to 4,Average,Hiking shoes,35 to 40,20 to 24%,12 to 14,Fairly,Summited
3519948589,40 to 49,Male,Group of 2+,51 to 100,Under 2,Average,Trail runners,35 to 40,20 to 24%,14 to 16,Fairly,Summited
3523027428,Under 30,Male,Solo,Over 100,9 to 16,Average,"Vibrams, sandals, none",35 to 40,20 to 24%,16 to 18,Somewhat,Summited
3520802352,40 to 49,Male,Group of 2+,21 to 50,9 to 16,Average,Trail runners,35 to 40,20 to 24%,16 to 18,Fairly,Attempted
3527084402,Under 30,Female,Solo,21 to 50,9 to 16,Average,Hiking shoes,30 to 35,20 to 24%,12 to 14,Somewhat,Not planned
3570962859,30 to 39,Male,Group of 2+,Over 100,5 to 8,Average,Trail runners,40 to 45,20 to 24%,14 to 16,Minimally,Not planned
3520533056,30 to 39,Female,Group of 2+,21 to 50,5 to 8,Below avg.,Trail runners,45 to 50,20 to 24%,10 to 12,Somewhat,Summited
3529976411,Under 30,Male,Group of 2+,Over 100,5 to 8,Above avg.,Hiking shoes,45 to 50,20 to 24%,14 to 16,Somewhat,Attempted
3520318436,60 and up,Male,Group of 2+,51 to 100,9 to 16,Above avg.,Boots,30 to 35,20 to 24%,10 to 12,Fairly,Summited
3520362800,Under 30,Female,Group of 2+,21 to 50,2 to 4,Average,Boots,30 to 35,20 to 24%,12 to 14,Minimally,Summited
3520122189,50 to 59,Male,Group of 2+,51 to 100,9 to 16,Above avg.,Trail runners,40 to 45,20 to 24%,14 to 16,Somewhat,Not planned
3570861923,60 and up,Male,Group of 2+,51 to 100,9 to 16,Sig. above avg.,Boots,40 to 45,20 to 24%,14 to 16,Somewhat,Summited
3550753587,50 to 59,Male,Group of 2+,21 to 50,5 to 8,Above avg.,Boots,40 to 45,20 to 24%,10 to 12,Somewhat,Summited
3522256534,50 to 59,Female,Group of 2+,11 to 20,9 to 16,Sig. above avg.,Trail runners,30 to 35,20 to 24%,12 to 14,Minimally,Not planned
3528402995,50 to 59,Male,Group of 2+,21 to 50,5 to 8,Above avg.,Boots,35 to 40,20 to 24%,8 to 10,Fairly,Summited
3539302584,60 and up,Male,Mix of group/solo,Over 100,Over 16,Sig. above avg.,Trail runners,25 to 30,20 to 24%,8 to 10,Somewhat,Not planned
3531452839,Under 30,Male,Solo,Over 100,5 to 8,Above avg.,Trail runners,35 to 40,20 to 24%,12 to 14,Somewhat,Attempted
3522767183,50 to 59,Female,Mix of group/solo,21 to 50,2 to 4,Below avg.,Trail runners,30 to 35,20 to 24%,12 to 14,Fairly,Summited
3521531540,50 to 59,Male,Solo,Over 100,Under 2,Average,Boots,40 to 45,20 to 24%,10 to 12,Fairly,Summited
3520093521,40 to 49,Female,Group of 2+,51 to 100,2 to 4,Above avg.,Trail runners,35 to 40,20 to 24%,16 to 18,Somewhat,Summited
3520430659,50 to 59,Male,Group of 2+,51 to 100,Under 2,Below avg.,Boots,55 and up,20 to 24%,Under 8,Minimally,Not planned
3528586059,30 to 39,Male,Group of 2+,21 to 50,2 to 4,Below avg.,Boots,55 and up,20 to 24%,10 to 12,Somewhat,Summited
3548695087,50 to 59,Male,Group of 2+,6 to 10,5 to 8,Average,Boots,40 to 45,20 to 24%,8 to 10,Fairly,Summited
3527210395,40 to 49,Male,Group of 2+,51 to 100,2 to 4,Average,Boots,40 to 45,20 to 24%,12 to 14,Minimally,Summited
3520391385,60 and up,Female,Group of 2+,51 to 100,2 to 4,Average,Trail runners,25 to 30,20 to 24%,10 to 12,Fairly,Attempted
3620292233,40 to 49,Female,Solo,51 to 100,Under 2,Above avg.,Trail runners,30 to 35,20 to 24%,20 and up,Minimally,Attempted
3614942158,Under 30,Female,Group of 2+,Over 100,9 to 16,Average,Trail runners,35 to 40,20 to 24%,12 to 14,Somewhat,Not planned
3521563414,50 to 59,Female,Mix of group/solo,Over 100,5 to 8,Average,Boots,30 to 35,20 to 24%,12 to 14,Somewhat,Not planned
3597678357,Under 30,Male,Solo,11 to 20,5 to 8,Average,Boots,50 to 55,20 to 24%,14 to 16,Not at all,Attempted
3615268216,40 to 49,Male,Group of 2+,Under 5,Under 2,Below avg.,Boots,40 to 45,20 to 24%,14 to 16,Fairly,Not planned
3520501552,30 to 39,Male,Solo,51 to 100,9 to 16,Above avg.,Trail runners,35 to 40,20 to 24%,20 and up,Very,Summited
3524318399,40 to 49,Male,Solo,6 to 10,9 to 16,Above avg.,Trail runners,35 to 40,20 to 24%,10 to 12,Somewhat,Summited
3520084967,30 to 39,Male,Solo,Under 5,Under 2,Below avg.,Trail runners,50 to 55,20 to 24%,10 to 12,Somewhat,Summited
3522143975,40 to 49,Male,Mix of group/solo,Over 100,Over 16,Sig. above avg.,Hiking shoes,40 to 45,20 to 24%,18 to 20,Somewhat,Not planned
3522801103,50 to 59,Male,Group of 2+,Over 100,9 to 16,Above avg.,Boots,45 to 50,20 to 24%,12 to 14,Somewhat,Summited
3522792137,50 to 59,Female,Group of 2+,11 to 20,2 to 4,Average,Boots,35 to 40,20 to 24%,14 to 16,Fairly,Summited
3520125348,50 to 59,Male,Group of 2+,51 to 100,Under 2,Below avg.,Boots,55 and up,20 to 24%,Under 8,Very,Attempted
3520027520,60 and up,Male,Group of 2+,Over 100,9 to 16,Average,Hiking shoes,40 to 45,20 to 24%,8 to 10,Minimally,Summited
3521389400,50 to 59,Male,Group of 2+,21 to 50,9 to 16,Above avg.,Boots,40 to 45,20 to 24%,20 and up,Fairly,Summited
3520172957,60 and up,Male,Group of 2+,6 to 10,9 to 16,Above avg.,Hiking shoes,35 to 40,20 to 24%,10 to 12,Somewhat,Summited
3522663045,40 to 49,Male,Group of 2+,51 to 100,9 to 16,Average,Hiking shoes,35 to 40,20 to 24%,12 to 14,Somewhat,Summited
3527293697,50 to 59,Male,Solo,21 to 50,Under 2,Average,Boots,35 to 40,20 to 24%,18 to 20,Minimally,Not planned
3542454483,Under 30,Male,Group of 2+,11 to 20,2 to 4,Above avg.,Trail runners,30 to 35,20 to 24%,12 to 14,Fairly,Summited
3550562364,30 to 39,Female,Solo,21 to 50,5 to 8,Above avg.,Trail runners,30 to 35,20 to 24%,14 to 16,Somewhat,Not planned
3520183282,Under 30,Male,Mix of group/solo,11 to 20,5 to 8,Average,Trail runners,45 to 50,20 to 24%,16 to 18,Minimally,Not planned
3520225884,50 to 59,Female,Group of 2+,21 to 50,5 to 8,Above avg.,Boots,35 to 40,20 to 24%,8 to 10,Minimally,Summited
3520487715,50 to 59,Female,Group of 2+,21 to 50,5 to 8,Above avg.,Hiking shoes,30 to 35,20 to 24%,10 to 12,Not at all,Not planned
3528661361,60 and up,Male,Solo,51 to 100,9 to 16,Above avg.,Boots,40 to 45,20 to 24%,8 to 10,Somewhat,Not planned
3520208184,50 to 59,Male,Group of 2+,21 to 50,9 to 16,Above avg.,Boots,45 to 50,20 to 24%,8 to 10,Not at all,Not planned
3529341820,40 to 49,Female,Group of 2+,21 to 50,5 to 8,Above avg.,Boots,30 to 35,20 to 24%,8 to 10,Somewhat,Not planned
3520246337,30 to 39,Female,Group of 2+,Over 100,5 to 8,Average,Trail runners,35 to 40,20 to 24%,8 to 10,Death march,Summited
3521204637,40 to 49,Male,Group of 2+,Under 5,5 to 8,Above avg.,Boots,50 to 55,20 to 24%,10 to 12,Fairly,Summited
3520198065,50 to 59,Female,Group of 2+,Under 5,Under 2,Average,Boots,35 to 40,20 to 24%,8 to 10,Fairly,Attempted
3528203904,Under 30,Female,Group of 2+,21 to 50,5 to 8,Average,Boots,35 to 40,20 to 24%,10 to 12,Somewhat,Summited
3532343375,40 to 49,Male,Group of 2+,11 to 20,5 to 8,Average,Hiking shoes,40 to 45,20 to 24%,12 to 14,Fairly,Summited
3528631955,30 to 39,Female,Solo,Under 5,9 to 16,Above avg.,Trail runners,25 to 30,20 to 24%,20 and up,Somewhat,Summited
3520119324,40 to 49,Female,Group of 2+,Over 100,Under 2,Average,Trail runners,35 to 40,20 to 24%,12 to 14,Somewhat,Attempted
3521558608,Under 30,Male,Group of 2+,21 to 50,2 to 4,Out of shape,Boots,55 and up,20 to 24%,10 to 12,Somewhat,Summited
3542117833,60 and up,Male,Group of 2+,Over 100,5 to 8,Above avg.,Boots,40 to 45,20 to 24%,12 to 14,Somewhat,Attempted
3527040146,Under 30,Male,Group of 2+,11 to 20,9 to 16,Above avg.,Boots,40 to 45,20 to 24%,8 to 10,Minimally,Not planned
3543210140,60 and up,Male,Group of 2+,21 to 50,Under 2,Above avg.,Boots,40 to 45,20 to 24%,10 to 12,Minimally,Not planned
3542548897,40 to 49,Male,Group of 2+,21 to 50,9 to 16,Sig. above avg.,Trail runners,35 to 40,20 to 24%,16 to 18,Very,Summited
3527245702,50 to 59,Female,Group of 2+,11 to 20,9 to 16,Above avg.,Boots,35 to 40,20 to 24%,10 to 12,Fairly,Summited
3616446882,30 to 39,Female,Group of 2+,21 to 50,Under 2,Above avg.,Boots,35 to 40,20 to 24%,12 to 14,Fairly,Not planned
3527604399,Under 30,Female,Mix of group/solo,6 to 10,5 to 8,Average,Boots,35 to 40,20 to 24%,12 to 14,Not at all,Summited
3520228336,30 to 39,Male,Group of 2+,Under 5,Under 2,Below avg.,Boots,45 to 50,20 to 24%,8 to 10,Fairly,Not planned
3520041300,Under 30,Male,Mix of group/solo,21 to 50,2 to 4,Above avg.,Trail runners,35 to 40,20 to 24%,20 and up,Minimally,Summited
3528486816,40 to 49,Male,Solo,21 to 50,2 to 4,Below avg.,Hiking shoes,45 to 50,20 to 24%,10 to 12,Fairly,Summited
3522180845,50 to 59,Male,Group of 2+,51 to 100,5 to 8,Above avg.,Boots,40 to 45,20 to 24%,12 to 14,Very,Summited
3520133574,60 and up,Male,Solo,21 to 50,5 to 8,Above avg.,Trail runners,30 to 35,20 to 24%,14 to 16,Minimally,Summited
3528761708,50 to 59,Male,Group of 2+,21 to 50,2 to 4,Below avg.,Hiking shoes,40 to 45,20 to 24%,8 to 10,Fairly,Summited
3528727987,30 to 39,Male,Group of 2+,Under 5,2 to 4,Average,Hiking shoes,30 to 35,20 to 24%,10 to 12,Somewhat,Not planned
3533679675,Under 30,Male,Group of 2+,Under 5,5 to 8,Average,Hiking shoes,50 to 55,20 to 24%,10 to 12,Fairly,Summited
3571383960,50 to 59,Female,Group of 2+,21 to 50,5 to 8,Above avg.,Hiking shoes,30 to 35,20 to 24%,10 to 12,Minimally,Summited
3520222672,40 to 49,Female,Solo,21 to 50,9 to 16,Sig. above avg.,Hiking shoes,30 to 35,20 to 24%,14 to 16,Fairly,Attempted
